Jugador,MovimientoJugador,MovimientoComputadora,Resultado
Pablo,Piedra,Tijeras,Victoria
Pablo,Tijeras,Papel,Victoria
Pablo,Papel,Tijeras,Derrota
Pablo,Piedra,Piedra,Empate
Laura,Tijeras,Papel,Victoria
Laura,Papel,Papel,Empate
Laura,Piedra,Papel,Derrota
Laura,Papel,Papel,Empate
Laura,Tijeras,Papel,Victoria
Laura,Piedra,Papel,Derrota
Laura,Piedra,Papel,Derrota
Laura,Papel,Papel,Empate
Laura,Tijeras,Tijeras,Empate
Laura,Piedra,Papel,Derrota
LauraGarc,Piedra,Papel,Derrota
LauraGarc,Papel,Papel,Empate
LauraGarc,Tijeras,Papel,Victoria
LauraGarc,Tijeras,Papel,Victoria
LauraGarc,Papel,Piedra,Victoria
LauraGarc,Tijeras,Piedra,Derrota
LauraGarc,Papel,Tijeras,Derrota
LauraGarc,Tijeras,Tijeras,Empate
LauraGarc,Papel,Piedra,Victoria
LauraGarc,Tijeras,Tijeras,Empate
LauraGarc,Papel,Piedra,Victoria
LauraGarc,Tijeras,Papel,Victoria
LauraGarc,Papel,Papel,Empate
LauraGarc,Tijeras,Papel,Victoria
LauraGarc,Papel,Tijeras,Derrota
LauraGarc,Tijeras,Piedra,Derrota
LauraGarc,Papel,Tijeras,Derrota
LauraGarc,Tijeras,Piedra,Derrota
LauraGarc,Papel,Tijeras,Derrota
LauraGarc,Tijeras,Piedra,Derrota
LauraGarc,Piedra,Papel,Derrota
LauraGarc,Piedra,Piedra,Empate
LauraGarc,Papel,Piedra,Victoria
LauraGarc,Tijeras,Piedra,Derrota
LauraGarc,Piedra,Papel,Derrota
LauraGarc,Papel,Papel,Empate
LauraGarc,Tijeras,Papel,Victoria
LauraGarc,Piedra,Tijeras,Victoria
LauraGarc,Piedra,Piedra,Empate
LauraGarc,Piedra,Papel,Derrota
LauraGarc,Piedra,Papel,Derrota
visualpablo,Piedra,Papel,Derrota
visualpablo,Tijeras,Papel,Victoria
visualpablo,Tijeras,Papel,Victoria
visualpablo,Papel,Papel,Empate
visualpablo,Piedra,Papel,Derrota
visualpablo,Piedra,Papel,Derrota
visualpablo,Tijeras,Papel,Victoria
visualpablo,Piedra,Papel,Derrota
visualpablo,Papel,Papel,Empate
visualpablo,Papel,Papel,Empate
visualpablo,Papel,Papel,Empate
visualpablo,Tijeras,Tijeras,Empate
visualpablo,Tijeras,Piedra,Derrota
Carmen,Piedra,Tijeras,Victoria
Carmen,Papel,Papel,Empate
Carmen,Piedra,Papel,Derrota
Carmen,Papel,Papel,Empate
Carmen,Tijeras,Tijeras,Empate
Carmen,Piedra,Papel,Derrota
Carmen,Tijeras,Papel,Victoria
Carmen,Tijeras,Piedra,Derrota
